,census_tract,Total population in occupied housing units:,Owner_occupied,Owner_occupied_Moved in 1999 or earlier,Renter_occupied,Renter_occupied_Moved in 1999 or earlier,year,percent_owners,percent_renters,percent_old_owners,percent_old_renters,renters_owners_ratio,old_renters_owners_ratio
317,901,4658,1351,699,3307,916,2010,0.15006440532417348,0.19665092314297983,0.5173945225758697,0.21136982159056547,0.4085273661929241,0.7631004366812227
288,901,4941,1580,804,3361,647,2011,0.16272009714632665,0.1309451528030763,0.5088607594936709,0.23921451948824754,0.47009818506396905,1.242658423493045
259,901,4941,1317,712,3624,482,2012,0.144100384537543,0.0975511030155839,0.5406226271829917,0.19646799116997793,0.36341059602649006,1.4771784232365146
230,901,4986,926,689,4060,400,2013,0.13818692338547933,0.08022462896109106,0.744060475161987,0.16970443349753694,0.22807881773399014,1.7225
201,901,5108,913,677,4195,250,2014,0.13253719655442442,0.04894283476898982,0.7415115005476451,0.16138259833134685,0.21764004767580453,2.708
172,901,4783,889,575,3894,311,2015,0.12021743675517457,0.06502195274932052,0.6467941507311586,0.14766307139188495,0.2282999486389317,1.8488745980707395
143,901,4842,743,491,4099,483,2016,0.10140437835605122,0.09975216852540272,0.6608344549125168,0.11978531349109539,0.18126372285923395,1.0165631469979297
114,901,4918,671,460,4247,445,2017,0.09353395689304596,0.09048393655957707,0.6855439642324889,0.10831174947021427,0.15799387803155168,1.0337078651685394
58,901,4994,992,560,4002,470,2019,0.11213456147376852,0.09411293552262716,0.5645161290322581,0.13993003498250875,0.2478760619690155,1.1914893617021276
29,901,5258,742,391,4516,368,2020,0.07436287561810574,0.0699885888170407,0.5269541778975741,0.08658104517271922,0.16430469441984058,1.0625
0,901,5185,771,491,4414,250,2021,0.09469623915139827,0.048216007714561235,0.6368352788586251,0.11123697326687812,0.17467149977344812,1.964
318,902,2075,214,114,1861,410,2010,0.05493975903614458,0.19759036144578312,0.5327102803738317,0.06125738850080602,0.11499193981730252,0.2780487804878049
289,902,2422,212,144,2210,379,2011,0.05945499587118084,0.1564822460776218,0.6792452830188679,0.06515837104072399,0.09592760180995476,0.37994722955145116
260,902,2453,335,158,2118,416,2012,0.06441092539747248,0.16958825927435792,0.4716417910447761,0.07459867799811143,0.15816808309726157,0.3798076923076923
231,902,2235,337,156,1898,275,2013,0.0697986577181208,0.12304250559284116,0.4629080118694362,0.0821917808219178,0.17755532139093783,0.5672727272727273
202,902,2526,176,22,2350,264,2014,0.00870942201108472,0.10451306413301663,0.125,0.009361702127659575,0.0748936170212766,0.08333333333333333
173,902,2383,250,89,2133,325,2015,0.03734788082249266,0.13638271086865295,0.356,0.04172526957337084,0.11720581340834506,0.27384615384615385
144,902,2481,288,47,2193,365,2016,0.01894397420395002,0.147118097541314,0.16319444444444445,0.021431828545371637,0.13132694938440492,0.12876712328767123
115,902,2455,260,82,2195,431,2017,0.03340122199592668,0.17556008146639512,0.3153846153846154,0.03735763097949886,0.11845102505694761,0.1902552204176334
59,902,2337,376,184,1961,236,2019,0.0787334189131365,0.10098416773641421,0.48936170212765956,0.09382967873533911,0.1917389087200408,0.7796610169491526
30,902,2395,339,140,2056,164,2020,0.05845511482254697,0.0684759916492693,0.41297935103244837,0.06809338521400778,0.16488326848249027,0.8536585365853658
1,902,3084,516,356,2568,178,2021,0.11543450064850844,0.05771725032425422,0.689922480620155,0.13862928348909656,0.20093457943925233,2.0
319,903,2525,591,406,1934,235,2010,0.1607920792079208,0.09306930693069307,0.6869712351945855,0.20992761116856257,0.30558428128231646,1.7276595744680852
290,903,2551,588,390,1963,181,2011,0.1528812230497844,0.07095256762054096,0.6632653061224489,0.1986754966887417,0.2995415180845644,2.154696132596685
261,903,3155,680,313,2475,162,2012,0.09920760697305864,0.05134706814580032,0.4602941176470588,0.12646464646464647,0.27474747474747474,1.9320987654320987
232,903,3354,644,321,2710,198,2013,0.09570661896243292,0.059033989266547404,0.4984472049689441,0.11845018450184502,0.23763837638376384,1.621212121212121
203,903,3641,759,254,2882,206,2014,0.06976105465531447,0.0565778632243889,0.3346508563899868,0.08813324080499653,0.2633587786259542,1.233009708737864
174,903,3630,644,152,2986,189,2015,0.0418732782369146,0.05206611570247934,0.2360248447204969,0.050904219691895514,0.2156731413261889,0.8042328042328042
145,903,3557,641,231,2916,150,2016,0.0649423671633399,0.04217036828788305,0.36037441497659906,0.07921810699588477,0.21982167352537724,1.54
116,903,3386,559,306,2827,162,2017,0.09037212049616067,0.047844063792085056,0.5474060822898033,0.10824195259992925,0.19773611602405378,1.8888888888888888
87,903,3465,718,258,2747,152,2018,0.07445887445887446,0.04386724386724387,0.3593314763231198,0.0939206406989443,0.2613760465962869,1.6973684210526316
60,903,3090,551,333,2539,140,2019,0.10776699029126213,0.045307443365695796,0.604355716878403,0.13115399763686492,0.2170145726664041,2.3785714285714286
31,903,3066,596,381,2470,97,2020,0.12426614481409001,0.031637312459230266,0.639261744966443,0.154251012145749,0.24129554655870444,3.9278350515463916
2,903,3206,404,236,2802,64,2021,0.07361197754210855,0.019962570180910792,0.5841584158415841,0.08422555317630265,0.1441827266238401,3.6875
320,907,4157,1279,586,2878,434,2010,0.14096704354101516,0.10440221313447197,0.4581704456606724,0.20361362056984017,0.44440583738707434,1.3502304147465438
291,907,3972,1058,578,2914,393,2011,0.14551863041289023,0.09894259818731117,0.5463137996219282,0.19835277968428278,0.3630748112560055,1.470737913486005
262,907,4136,1413,608,2723,355,2012,0.1470019342359768,0.08583172147001934,0.4302901627742392,0.22328314359162688,0.5189129636430407,1.712676056338028
233,907,4675,1276,544,3399,261,2013,0.11636363636363636,0.055828877005347596,0.4263322884012539,0.1600470726684319,0.37540453074433655,2.0842911877394634
204,907,4515,1375,493,3140,247,2014,0.10919158361018826,0.05470653377630122,0.35854545454545456,0.15700636942675159,0.43789808917197454,1.9959514170040487
175,907,4582,1378,529,3204,253,2015,0.11545176778699258,0.055216062854648626,0.3838896952104499,0.16510611735330835,0.43008739076154806,2.090909090909091
