,year,Total,Median income (dollars),Mean income (dollars),median_income_difference,mean_income_difference,census_tract
0,2021,559.0,,160064.0,,0.294073894413453,70801
1,2020,531.0,,123690.0,,-0.15507100846363506,70801
2,2019,2029.0,94653.0,146391.0,0.04534661556981457,0.06235168615156859,70801
3,2018,2069.0,90547.0,137799.0,0.13895597484276728,0.14473815378480762,70801
4,2017,2064.0,79500.0,120376.0,0.10929716605969275,0.0537945041188469,70801
5,2016,2042.0,71667.0,114231.0,-0.22522162162162163,0.0011042460891284344,70801
6,2015,2040.0,92500.0,114105.0,-0.038011543861473665,-0.014186112815018964,70801
7,2014,2031.0,96155.0,115747.0,0.3867176233054514,0.10385572732387918,70801
8,2013,1999.0,69340.0,104857.0,0.07774565575554104,0.16563469213068466,70801
9,2012,2055.0,64338.0,89957.0,0.13693473996713143,-0.021557772001000664,70801
10,2011,2081.0,56589.0,91939.0,,,70801
11,2010,,,,,,70801
12,2021,662.0,30357.0,60760.0,-0.1579429142048764,0.021794699313870576,70901
13,2020,718.0,36051.0,59464.0,-0.3197924528301887,-0.5679775648244346,70901
14,2019,1670.0,53000.0,137641.0,-0.05145413870246085,0.10901531693403485,70901
15,2018,1537.0,55875.0,124111.0,-0.08578487515952747,0.06867869290050373,70901
16,2017,1539.0,61118.0,116135.0,0.2816222110384164,0.2949355514919049,70901
17,2016,1560.0,47688.0,89684.0,0.026166293682217248,0.0381173964880601,70901
18,2015,1539.0,46472.0,86391.0,-0.3454647887323944,-0.16777288622154576,70901
19,2014,1574.0,71000.0,103807.0,0.3059392646274394,0.057657822879732645,70901
20,2013,1707.0,54367.0,98148.0,0.012930151100180724,0.06798694232861806,70901
21,2012,1720.0,53673.0,91900.0,0.05171062428968923,0.04072295705743794,70901
22,2011,1746.0,51034.0,88304.0,0.23377816458756406,0.12845678065736338,70901
23,2010,1668.0,41364.0,78252.0,,,70901
24,2021,709.0,42563.0,60228.0,0.0173773783344488,0.04260217771391971,801
25,2020,711.0,41836.0,57767.0,0.29691859383718766,0.3041721226351199,801
26,2019,728.0,32258.0,44294.0,0.033181730830824416,0.01610387227014131,801
27,2018,725.0,31222.0,43592.0,6.406149903907751e-05,-0.03687501380879786,801
28,2017,724.0,31220.0,45261.0,0.020328126021308582,0.06236503614684067,801
29,2016,715.0,30598.0,42604.0,0.002424321845105491,0.10832466181061394,801
30,2015,693.0,30524.0,38440.0,0.11735851819313273,0.010834122225728412,801
31,2014,644.0,27318.0,38028.0,-0.1385595358224016,-0.16062244785343782,801
32,2013,617.0,31712.0,45305.0,0.02687649763616346,0.036585365853658534,801
33,2012,600.0,30882.0,43706.0,-0.23424830766941904,-0.11622922311643143,801
34,2011,613.0,40329.0,49454.0,,,801
35,2010,,,,,,801
36,2021,953.0,41211.0,60163.0,0.028654868581983375,-0.014141513453282208,803
37,2020,939.0,40063.0,61026.0,-0.059929136260177866,0.1453828828828829,803
38,2019,877.0,42617.0,53280.0,0.18932269137387325,0.027440846944481942,803
39,2018,826.0,35833.0,51857.0,-0.08565960704261291,-0.008318672072209899,803
40,2017,877.0,39190.0,52292.0,0.2392094861660079,0.02483096521313082,803
41,2016,820.0,31625.0,51025.0,0.11441962083303968,0.09603900846328994,803
42,2015,801.0,28378.0,46554.0,0.2707325810496149,0.07544816115320643,803
43,2014,777.0,22332.0,43288.0,0.03566294114919075,0.15048105033753256,803
44,2013,772.0,21563.0,37626.0,0.20862059301608654,-0.0996626067813644,803
45,2012,747.0,17841.0,41791.0,-0.23478447351490456,0.529181455596619,803
46,2011,761.0,23315.0,27329.0,,,803
47,2010,,,,,,803
48,2021,1318.0,22212.0,35611.0,0.04527058823529412,-0.011821183783333796,80401
49,2020,1344.0,21250.0,36037.0,0.14235028491560048,-0.2135093845482322,80401
50,2019,1379.0,18602.0,45820.0,-0.03084297176200896,-0.04769822300737816,80401
51,2018,1386.0,19194.0,48115.0,-0.011230166907067794,0.016306528948313373,80401
52,2017,1316.0,19412.0,47343.0,-0.37465369499387924,-0.03654938032927003,80401
53,2016,1365.0,31042.0,49139.0,0.30133310975098515,0.06578319524573809,80401
54,2015,1346.0,23854.0,46106.0,0.25323106020804875,0.2593482833028325,80401
55,2014,1312.0,19034.0,36611.0,0.04565181563478547,0.13967749968870627,80401
56,2013,1245.0,18203.0,32124.0,0.11674846625766871,0.0895770443984669,80401
57,2012,1246.0,16300.0,29483.0,0.21225643313996728,0.15447568329548125,80401
58,2011,1163.0,13446.0,25538.0,-0.1079413520865123,0.006423645320197045,80401
59,2010,1157.0,15073.0,25375.0,,,80401
60,2021,1509.0,39625.0,48267.0,0.25873570520965694,0.18440812720848057,805
61,2020,1526.0,31480.0,40752.0,0.04769194927946217,0.021506993532862083,805
62,2019,1377.0,30047.0,39894.0,0.33542222222222223,0.19478885893980233,805
63,2018,1318.0,22500.0,33390.0,-0.04922881893091063,-0.03791851553045583,805
64,2017,1345.0,23665.0,34706.0,0.020306975942053978,-0.05286139235324619,805
65,2016,1341.0,23194.0,36643.0,0.020817745697812598,0.14377126447545027,805
66,2015,1354.0,22721.0,32037.0,0.17658329449536533,0.11545558998642108,805
67,2014,1301.0,19311.0,28721.0,0.07158315298818045,0.07400344028120559,805
68,2013,1283.0,18021.0,26742.0,-0.09172924751776625,-0.11983675081460027,805
69,2012,1172.0,19841.0,30383.0,0.22961080813088747,0.24199811960920575,805
70,2011,1264.0,16136.0,24463.0,0.042309928299205476,-0.02847498014297061,805
71,2010,1296.0,15481.0,25180.0,,,805
72,2021,731.0,14590.0,38663.0,0.02350052613118204,0.11247626172526903,80601
73,2020,801.0,14255.0,34754.0,-0.1897806070251222,0.05612787552800316,80601
74,2019,879.0,17594.0,32907.0,0.12042284913710756,0.10906272117555862,80601
75,2018,917.0,15703.0,29671.0,-0.024294768236609917,-0.02391604710836239,80601
76,2017,916.0,16094.0,30398.0,-0.0096,0.07458993212669683,80601
77,2016,910.0,16250.0,28288.0,-0.03800615676059673,-0.021548891425409014,80601
78,2015,934.0,16892.0,28911.0,0.003564638783269962,0.03168825607536666,80601
79,2014,875.0,16832.0,28023.0,-0.28105245173415344,-0.15014860192879237,80601
80,2013,869.0,23412.0,32974.0,0.05416722950155342,-0.011629998201546669,80601
81,2012,856.0,22209.0,33362.0,0.03673793296610961,0.0059096665259603205,80601
82,2011,843.0,21422.0,33166.0,0.13361909297772134,-0.010944442787701666,80601
83,2010,857.0,18897.0,33533.0,,,80601
84,2021,1126.0,25308.0,40952.0,,0.8441862559668558,81302
85,2020,1146.0,,22206.0,,-0.44836666252639423,81302
86,2019,2377.0,16226.0,40255.0,-0.09870577126034549,0.1637756577045389,81302
87,2018,2352.0,18003.0,34590.0,0.017693612210288298,-0.07622048926396753,81302
88,2017,2230.0,17690.0,37444.0,-0.0320109439124487,-0.05701621839427823,81302
89,2016,2155.0,18275.0,39708.0,-0.1261834178062542,0.014252873563218391,81302
