"Label (Grouping)","Census Tract 1101.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.03, Suffolk County, Massachusetts!!Estimate Margin of Error","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","",""
"    Total housing units","2,410","±60","2,410","(X)","1,096","±21","1,096","(X)","1,738","±59","1,738","(X)"
"    Occupied housing units","2,311","±108","95.9%","±3.7","1,005","±73","91.7%","±6.3","1,672","±78","96.2%","±3.2"
"    Vacant housing units","99","±89","4.1%","±3.7","91","±69","8.3%","±6.3","66","±56","3.8%","±3.2"
"    Homeowner vacancy rate","0.0","±4.1","(X)","(X)","0.0","±7.1","(X)","(X)","0.0","±7.0","(X)","(X)"
"    Rental vacancy rate","6.6","±6.0","(X)","(X)","4.2","±7.0","(X)","(X)","1.7","±2.6","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","",""
"    Total housing units","2,410","±60","2,410","(X)","1,096","±21","1,096","(X)","1,738","±59","1,738","(X)"
"    1-unit, detached","359","±157","14.9%","±6.5","104","±60","9.5%","±5.4","107","±62","6.2%","±3.6"
"    1-unit, attached","63","±55","2.6%","±2.3","10","±16","0.9%","±1.5","28","±31","1.6%","±1.8"
"    2 units","392","±138","16.3%","±5.8","279","±79","25.5%","±7.2","190","±73","10.9%","±4.2"
"    3 or 4 units","714","±158","29.6%","±6.5","347","±79","31.7%","±7.2","875","±152","50.3%","±8.7"
"    5 to 9 units","312","±137","12.9%","±5.6","200","±70","18.2%","±6.4","349","±120","20.1%","±6.9"
"    10 to 19 units","263","±120","10.9%","±5.0","61","±51","5.6%","±4.6","23","±38","1.3%","±2.2"
"    20 or more units","307","±112","12.7%","±4.7","95","±61","8.7%","±5.5","166","±91","9.6%","±5.1"
"    Mobile home","0","±127","0.0%","±1.5","0","±127","0.0%","±3.4","0","±127","0.0%","±2.1"
"    Boat, RV, van, etc.","0","±127","0.0%","±1.5","0","±127","0.0%","±3.4","0","±127","0.0%","±2.1"
"YEAR STRUCTURE BUILT","","","","","","","","","","","",""
"    Total housing units","2,410","±60","2,410","(X)","1,096","±21","1,096","(X)","1,738","±59","1,738","(X)"
"    Built 2005 or later","24","±29","1.0%","±1.2","9","±16","0.8%","±1.4","33","±27","1.9%","±1.6"
"    Built 2000 to 2004","238","±115","9.9%","±4.8","0","±127","0.0%","±3.4","57","±31","3.3%","±1.8"
"    Built 1990 to 1999","42","±47","1.7%","±1.9","7","±12","0.6%","±1.1","8","±13","0.5%","±0.7"
"    Built 1980 to 1989","150","±81","6.2%","±3.4","0","±127","0.0%","±3.4","62","±59","3.6%","±3.4"
"    Built 1970 to 1979","27","±33","1.1%","±1.4","8","±12","0.7%","±1.1","33","±31","1.9%","±1.8"
"    Built 1960 to 1969","167","±108","6.9%","±4.5","186","±80","17.0%","±7.3","230","±102","13.2%","±5.9"
"    Built 1950 to 1959","149","±114","6.2%","±4.8","90","±60","8.2%","±5.5","168","±87","9.7%","±4.9"
"    Built 1940 to 1949","233","±94","9.7%","±3.9","89","±64","8.1%","±5.9","39","±38","2.2%","±2.2"
"    Built 1939 or earlier","1,380","±183","57.3%","±7.2","707","±104","64.5%","±9.4","1,108","±128","63.8%","±7.3"
"ROOMS","","","","","","","","","","","",""
"    Total housing units","2,410","±60","2,410","(X)","1,096","±21","1,096","(X)","1,738","±59","1,738","(X)"
"    1 room","16","±25","0.7%","±1.1","7","±13","0.6%","±1.2","133","±81","7.7%","±4.6"
"    2 rooms","127","±89","5.3%","±3.7","0","±127","0.0%","±3.4","45","±41","2.6%","±2.4"
"    3 rooms","347","±110","14.4%","±4.6","154","±84","14.1%","±7.6","148","±78","8.5%","±4.4"
"    4 rooms","360","±130","14.9%","±5.4","299","±97","27.3%","±8.9","360","±113","20.7%","±6.5"
"    5 rooms","868","±179","36.0%","±7.3","296","±93","27.0%","±8.5","664","±156","38.2%","±9.2"
"    6 rooms","342","±143","14.2%","±5.9","143","±68","13.0%","±6.2","237","±97","13.6%","±5.6"
"    7 rooms","102","±79","4.2%","±3.3","84","±48","7.7%","±4.4","88","±61","5.1%","±3.5"
"    8 rooms","156","±90","6.5%","±3.8","28","±28","2.6%","±2.5","14","±21","0.8%","±1.2"
"    9 rooms or more","92","±53","3.8%","±2.2","85","±62","7.8%","±5.7","49","±50","2.8%","±2.8"
"    Median rooms","4.9","±0.2","(X)","(X)","4.8","±0.3","(X)","(X)","4.8","±0.2","(X)","(X)"
"BEDROOMS","","","","","","","","","","","",""
"    Total housing units","2,410","±60","2,410","(X)","1,096","±21","1,096","(X)","1,738","±59","1,738","(X)"
"    No bedroom","16","±25","0.7%","±1.1","7","±13","0.6%","±1.2","133","±81","7.7%","±4.6"
"    1 bedroom","542","±139","22.5%","±5.8","197","±93","18.0%","±8.5","275","±110","15.8%","±6.3"
"    2 bedrooms","981","±205","40.7%","±8.4","594","±120","54.2%","±10.8","862","±135","49.6%","±7.8"
"    3 bedrooms","711","±181","29.5%","±7.5","184","±65","16.8%","±6.0","306","±103","17.6%","±5.9"
"    4 bedrooms","122","±71","5.1%","±3.0","64","±49","5.8%","±4.5","112","±78","6.4%","±4.5"
"    5 or more bedrooms","38","±32","1.6%","±1.3","50","±48","4.6%","±4.4","50","±45","2.9%","±2.6"
"HOUSING TENURE","","","","","","","","","","","",""
"    Occupied housing units","2,311","±108","2,311","(X)","1,005","±73","1,005","(X)","1,672","±78","1,672","(X)"
"    Owner-occupied","901","±176","39.0%","±7.8","506","±98","50.3%","±9.7","491","±109","29.4%","±6.6"
"    Renter-occupied","1,410","±204","61.0%","±7.8","499","±109","49.7%","±9.7","1,181","±133","70.6%","±6.6"
"    Average household size of owner-occupied unit","2.32","±0.38","(X)","(X)","2.09","±0.28","(X)","(X)","2.18","±0.27","(X)","(X)"
"    Average household size of renter-occupied unit","2.59","±0.42","(X)","(X)","1.78","±0.20","(X)","(X)","2.41","±0.36","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","",""
"    Occupied housing units","2,311","±108","2,311","(X)","1,005","±73","1,005","(X)","1,672","±78","1,672","(X)"
"    Moved in 2005 or later","985","±210","42.6%","±9.0","526","±105","52.3%","±8.9","932","±141","55.7%","±7.6"
"    Moved in 2000 to 2004","755","±194","32.7%","±8.4","160","±67","15.9%","±6.7","341","±113","20.4%","±6.9"
"    Moved in 1990 to 1999","349","±118","15.1%","±5.0","108","±53","10.7%","±5.5","243","±86","14.5%","±5.2"
"    Moved in 1980 to 1989","79","±73","3.4%","±3.1","169","±75","16.8%","±7.2","110","±65","6.6%","±3.9"
"    Moved in 1970 to 1979","72","±56","3.1%","±2.4","35","±31","3.5%","±3.1","28","±29","1.7%","±1.8"
"    Moved in 1969 or earlier","71","±47","3.1%","±2.0","7","±12","0.7%","±1.1","18","±23","1.1%","±1.4"
"VEHICLES AVAILABLE","","","","","","","","","","","",""
"    Occupied housing units","2,311","±108","2,311","(X)","1,005","±73","1,005","(X)","1,672","±78","1,672","(X)"
"    No vehicles available","565","±182","24.4%","±7.4","252","±90","25.1%","±8.5","563","±146","33.7%","±8.6"
"    1 vehicle available","1,269","±195","54.9%","±8.4","569","±117","56.6%","±11.4","823","±156","49.2%","±9.2"
"    2 vehicles available","419","±139","18.1%","±6.0","175","±79","17.4%","±7.7","248","±101","14.8%","±6.0"
"    3 or more vehicles available","58","±66","2.5%","±2.9","9","±14","0.9%","±1.4","38","±36","2.3%","±2.1"
"HOUSE HEATING FUEL","","","","","","","","","","","",""
"    Occupied housing units","2,311","±108","2,311","(X)","1,005","±73","1,005","(X)","1,672","±78","1,672","(X)"
"    Utility gas","1,293","±217","55.9%","±8.9","628","±101","62.5%","±8.8","1,208","±141","72.2%","±8.2"
"    Bottled, tank, or LP gas","77","±69","3.3%","±3.0","19","±22","1.9%","±2.2","38","±41","2.3%","±2.5"
"    Electricity","202","±117","8.7%","±5.0","65","±34","6.5%","±3.4","146","±92","8.7%","±5.4"
"    Fuel oil, kerosene, etc.","724","±191","31.3%","±8.2","279","±81","27.8%","±7.8","280","±104","16.7%","±6.1"
"    Coal or coke","0","±127","0.0%","±1.6","0","±127","0.0%","±3.7","0","±127","0.0%","±2.2"
"    Wood","0","±127","0.0%","±1.6","0","±127","0.0%","±3.7","0","±127","0.0%","±2.2"
"    Solar energy","0","±127","0.0%","±1.6","0","±127","0.0%","±3.7","0","±127","0.0%","±2.2"
"    Other fuel","15","±29","0.6%","±1.2","0","±127","0.0%","±3.7","0","±127","0.0%","±2.2"
"    No fuel used","0","±127","0.0%","±1.6","14","±17","1.4%","±1.7","0","±127","0.0%","±2.2"
"SELECTED CHARACTERISTICS","","","","","","","","","","","",""
"    Occupied housing units","2,311","±108","2,311","(X)","1,005","±73","1,005","(X)","1,672","±78","1,672","(X)"
"    Lacking complete plumbing facilities","31","±46","1.3%","±2.0","21","±33","2.1%","±3.3","37","±49","2.2%","±2.9"
"    Lacking complete kitchen facilities","16","±25","0.7%","±1.1","33","±48","3.3%","±4.8","21","±33","1.3%","±2.0"
"    No telephone service available","41","±41","1.8%","±1.8","24","±23","2.4%","±2.3","150","±81","9.0%","±4.8"
"OCCUPANTS PER ROOM","","","","","","","","","","","",""
"    Occupied housing units","2,311","±108","2,311","(X)","1,005","±73","1,005","(X)","1,672","±78","1,672","(X)"
"    1.00 or less","2,287","±113","99.0%","±1.1","1,005","±73","100.0%","±3.7","1,641","±86","98.1%","±2.0"
"    1.01 to 1.50","24","±26","1.0%","±1.1","0","±127","0.0%","±3.7","0","±127","0.0%","±2.2"
"    1.51 or more","0","±127","0.0%","±1.6","0","±127","0.0%","±3.7","31","±34","1.9%","±2.0"
"VALUE","","","","","","","","","","","",""
"    Owner-occupied units","901","±176","901","(X)","506","±98","506","(X)","491","±109","491","(X)"
"    Less than $50,000","0","±127","0.0%","±4.1","0","±127","0.0%","±7.1","31","±40","6.3%","±7.6"
"    $50,000 to $99,999","0","±127","0.0%","±4.1","0","±127","0.0%","±7.1","0","±127","0.0%","±7.3"
"    $100,000 to $149,999","15","±29","1.7%","±3.2","10","±16","2.0%","±3.2","0","±127","0.0%","±7.3"
"    $150,000 to $199,999","77","±62","8.5%","±6.7","36","±40","7.1%","±7.7","0","±127","0.0%","±7.3"
"    $200,000 to $299,999","376","±132","41.7%","±11.4","190","±77","37.5%","±12.9","120","±60","24.4%","±11.5"
"    $300,000 to $499,999","313","±110","34.7%","±10.8","188","±79","37.2%","±13.3","268","±83","54.6%","±11.5"
"    $500,000 to $999,999","120","±56","13.3%","±5.7","82","±42","16.2%","±8.1","72","±41","14.7%","±8.3"
"    $1,000,000 or more","0","±127","0.0%","±4.1","0","±127","0.0%","±7.1","0","±127","0.0%","±7.3"
"    Median (dollars)","294,100","±37,140","(X)","(X)","318,700","±66,887","(X)","(X)","342,000","±22,502","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","",""
"    Owner-occupied units","901","±176","901","(X)","506","±98","506","(X)","491","±109","491","(X)"
"    Housing units with a mortgage","754","±181","83.7%","±8.5","390","±101","77.1%","±12.9","409","±87","83.3%","±10.8"
"    Housing units without a mortgage","147","±75","16.3%","±8.5","116","±68","22.9%","±12.9","82","±63","16.7%","±10.8"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","",""
"    Housing units with a mortgage","754","±181","754","(X)","390","±101","390","(X)","409","±87","409","(X)"
"    Less than $300","0","±127","0.0%","±4.8","0","±127","0.0%","±9.2","0","±127","0.0%","±8.8"
"    $300 to $499","4","±11","0.5%","±1.5","7","±12","1.8%","±3.2","0","±127","0.0%","±8.8"
"    $500 to $699","0","±127","0.0%","±4.8","0","±127","0.0%","±9.2","0","±127","0.0%","±8.8"
"    $700 to $999","13","±20","1.7%","±2.7","26","±36","6.7%","±9.0","21","±22","5.1%","±5.4"
