"Label (Grouping)","Census Tract 1101.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.03, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","",""
"    Total housing units","2,439","±59","2,439","(X)","1,108","±38","1,108","(X)","1,802","±39","1,802","(X)"
"        Occupied housing units","2,378","±92","97.5%","±2.9","1,034","±78","93.3%","±5.8","1,784","±45","99.0%","±1.6"
"        Vacant housing units","61","±70","2.5%","±2.9","74","±63","6.7%","±5.8","18","±28","1.0%","±1.6"
"    Homeowner vacancy rate","0.0","±3.4","(X)","(X)","0.0","±8.1","(X)","(X)","0.0","±5.9","(X)","(X)"
"    Rental vacancy rate","0.0","±2.4","(X)","(X)","1.3","±2.0","(X)","(X)","0.0","±2.8","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","",""
"    Total housing units","2,439","±59","2,439","(X)","1,108","±38","1,108","(X)","1,802","±39","1,802","(X)"
"        1-unit, detached","417","±121","17.1%","±5.0","60","±34","5.4%","±3.1","135","±67","7.5%","±3.7"
"        1-unit, attached","95","±74","3.9%","±3.0","15","±22","1.4%","±2.0","61","±43","3.4%","±2.4"
"        2 units","280","±133","11.5%","±5.5","252","±75","22.7%","±6.7","106","±51","5.9%","±2.8"
"        3 or 4 units","903","±189","37.0%","±7.7","318","±75","28.7%","±6.8","841","±141","46.7%","±7.7"
"        5 to 9 units","273","±139","11.2%","±5.7","219","±69","19.8%","±6.2","400","±105","22.2%","±5.9"
"        10 to 19 units","263","±121","10.8%","±4.9","118","±71","10.6%","±6.4","40","±45","2.2%","±2.5"
"        20 or more units","208","±93","8.5%","±3.8","126","±56","11.4%","±5.1","219","±85","12.2%","±4.7"
"        Mobile home","0","±17","0.0%","±1.4","0","±12","0.0%","±3.1","0","±12","0.0%","±1.9"
"        Boat, RV, van, etc.","0","±17","0.0%","±1.4","0","±12","0.0%","±3.1","0","±12","0.0%","±1.9"
"YEAR STRUCTURE BUILT","","","","","","","","","","","",""
"    Total housing units","2,439","±59","2,439","(X)","1,108","±38","1,108","(X)","1,802","±39","1,802","(X)"
"        Built 2010 or later","0","±17","0.0%","±1.4","0","±12","0.0%","±3.1","21","±25","1.2%","±1.4"
"        Built 2000 to 2009","225","±115","9.2%","±4.7","0","±12","0.0%","±3.1","59","±40","3.3%","±2.2"
"        Built 1990 to 1999","72","±52","3.0%","±2.2","0","±12","0.0%","±3.1","41","±33","2.3%","±1.8"
"        Built 1980 to 1989","71","±65","2.9%","±2.7","13","±20","1.2%","±1.8","211","±86","11.7%","±4.8"
"        Built 1970 to 1979","119","±83","4.9%","±3.4","56","±34","5.1%","±3.1","78","±52","4.3%","±2.9"
"        Built 1960 to 1969","84","±75","3.4%","±3.1","155","±90","14.0%","±8.3","142","±72","7.9%","±4.0"
"        Built 1950 to 1959","243","±117","10.0%","±4.7","172","±66","15.5%","±6.0","141","±73","7.8%","±4.0"
"        Built 1940 to 1949","195","±89","8.0%","±3.6","105","±67","9.5%","±6.0","48","±34","2.7%","±1.9"
"        Built 1939 or earlier","1,430","±165","58.6%","±6.6","607","±90","54.8%","±7.6","1,061","±126","58.9%","±6.5"
"ROOMS","","","","","","","","","","","",""
"    Total housing units","2,439","±59","2,439","(X)","1,108","±38","1,108","(X)","1,802","±39","1,802","(X)"
"        1 room","77","±78","3.2%","±3.2","9","±13","0.8%","±1.2","135","±78","7.5%","±4.3"
"        2 rooms","19","±29","0.8%","±1.2","23","±28","2.1%","±2.5","13","±19","0.7%","±1.1"
"        3 rooms","199","±103","8.2%","±4.2","151","±67","13.6%","±6.0","212","±88","11.8%","±4.8"
"        4 rooms","509","±159","20.9%","±6.4","401","±112","36.2%","±10.4","454","±119","25.2%","±6.6"
"        5 rooms","783","±189","32.1%","±7.8","192","±78","17.3%","±6.9","669","±118","37.1%","±6.5"
"        6 rooms","411","±122","16.9%","±5.0","222","±63","20.0%","±5.7","271","±90","15.0%","±4.9"
"        7 rooms","213","±110","8.7%","±4.5","75","±48","6.8%","±4.3","18","±21","1.0%","±1.2"
"        8 rooms","86","±76","3.5%","±3.1","14","±22","1.3%","±2.0","0","±12","0.0%","±1.9"
"        9 rooms or more","142","±79","5.8%","±3.2","21","±30","1.9%","±2.8","30","±26","1.7%","±1.5"
"        Median rooms","5.0","±0.2","(X)","(X)","4.4","±0.3","(X)","(X)","4.6","±0.2","(X)","(X)"
"BEDROOMS","","","","","","","","","","","",""
"    Total housing units","2,439","±59","2,439","(X)","1,108","±38","1,108","(X)","1,802","±39","1,802","(X)"
"        No bedroom","96","±74","3.9%","±3.0","9","±13","0.8%","±1.2","135","±78","7.5%","±4.3"
"        1 bedroom","341","±123","14.0%","±5.1","251","±79","22.7%","±7.0","207","±77","11.5%","±4.3"
"        2 bedrooms","1,006","±161","41.2%","±6.5","549","±94","49.5%","±8.5","1,078","±131","59.8%","±7.2"
"        3 bedrooms","723","±174","29.6%","±7.0","268","±54","24.2%","±4.8","335","±84","18.6%","±4.6"
"        4 bedrooms","195","±106","8.0%","±4.3","10","±18","0.9%","±1.7","39","±35","2.2%","±1.9"
"        5 or more bedrooms","78","±54","3.2%","±2.2","21","±30","1.9%","±2.8","8","±12","0.4%","±0.7"
"HOUSING TENURE","","","","","","","","","","","",""
"    Occupied housing units","2,378","±92","2,378","(X)","1,034","±78","1,034","(X)","1,784","±45","1,784","(X)"
