"Label (Grouping)","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Percent","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","1,301","±39","1,301","(X)"
"    Occupied housing units","1,157","±105","88.9%","±7.2"
"    Vacant housing units","144","±94","11.1%","±7.2"
"    Homeowner vacancy rate","15.0","±23.4","(X)","(X)"
"    Rental vacancy rate","5.9","±5.3","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","1,301","±39","1,301","(X)"
"    1-unit, detached","25","±29","1.9%","±2.2"
"    1-unit, attached","301","±100","23.1%","±7.8"
"    2 units","60","±63","4.6%","±4.9"
"    3 or 4 units","104","±66","8.0%","±5.1"
"    5 to 9 units","51","±49","3.9%","±3.8"
"    10 to 19 units","39","±32","3.0%","±2.5"
"    20 or more units","721","±122","55.4%","±9.0"
"    Mobile home","0","±127","0.0%","±2.8"
"    Boat, RV, van, etc.","0","±127","0.0%","±2.8"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","1,301","±39","1,301","(X)"
"    Built 2005 or later","12","±19","0.9%","±1.5"
"    Built 2000 to 2004","180","±71","13.8%","±5.5"
"    Built 1990 to 1999","103","±58","7.9%","±4.4"
"    Built 1980 to 1989","104","±70","8.0%","±5.4"
"    Built 1970 to 1979","230","±75","17.7%","±5.8"
"    Built 1960 to 1969","208","±94","16.0%","±7.2"
"    Built 1950 to 1959","129","±76","9.9%","±5.9"
"    Built 1940 to 1949","17","±22","1.3%","±1.7"
"    Built 1939 or earlier","318","±101","24.4%","±7.7"
"ROOMS","","","",""
"    Total housing units","1,301","±39","1,301","(X)"
"    1 room","270","±110","20.8%","±8.3"
"    2 rooms","63","±47","4.8%","±3.7"
"    3 rooms","294","±102","22.6%","±7.9"
"    4 rooms","357","±102","27.4%","±7.8"
"    5 rooms","102","±76","7.8%","±5.9"
"    6 rooms","91","±51","7.0%","±3.9"
"    7 rooms","99","±44","7.6%","±3.3"
"    8 rooms","0","±127","0.0%","±2.8"
"    9 rooms or more","25","±30","1.9%","±2.3"
"    Median rooms","3.6","±0.3","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","1,301","±39","1,301","(X)"
"    No bedroom","270","±110","20.8%","±8.3"
"    1 bedroom","316","±105","24.3%","±8.2"
"    2 bedrooms","513","±127","39.4%","±9.7"
"    3 bedrooms","121","±53","9.3%","±4.0"
"    4 bedrooms","51","±43","3.9%","±3.3"
"    5 or more bedrooms","30","±31","2.3%","±2.3"
"HOUSING TENURE","","","",""
"    Occupied housing units","1,157","±105","1,157","(X)"
"    Owner-occupied","164","±76","14.2%","±6.4"
"    Renter-occupied","993","±111","85.8%","±6.4"
"    Average household size of owner-occupied unit","1.74","±0.59","(X)","(X)"
"    Average household size of renter-occupied unit","2.14","±0.17","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","1,157","±105","1,157","(X)"
"    Moved in 2005 or later","336","±115","29.0%","±9.1"
"    Moved in 2000 to 2004","415","±93","35.9%","±7.9"
"    Moved in 1990 to 1999","239","±104","20.7%","±9.1"
"    Moved in 1980 to 1989","116","±72","10.0%","±6.0"
"    Moved in 1970 to 1979","40","±33","3.5%","±2.9"
"    Moved in 1969 or earlier","11","±18","1.0%","±1.6"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","1,157","±105","1,157","(X)"
"    No vehicles available","667","±107","57.6%","±9.0"
"    1 vehicle available","425","±134","36.7%","±10.4"
"    2 vehicles available","65","±47","5.6%","±4.1"
"    3 or more vehicles available","0","±127","0.0%","±3.2"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","1,157","±105","1,157","(X)"
"    Utility gas","444","±138","38.4%","±11.0"
"    Bottled, tank, or LP gas","31","±28","2.7%","±2.4"
"    Electricity","514","±117","44.4%","±9.9"
"    Fuel oil, kerosene, etc.","126","±69","10.9%","±5.8"
"    Coal or coke","0","±127","0.0%","±3.2"
"    Wood","0","±127","0.0%","±3.2"
"    Solar energy","0","±127","0.0%","±3.2"
"    Other fuel","42","±50","3.6%","±4.3"
"    No fuel used","0","±127","0.0%","±3.2"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","1,157","±105","1,157","(X)"
"    Lacking complete plumbing facilities","38","±60","3.3%","±5.2"
"    Lacking complete kitchen facilities","47","±61","4.1%","±5.2"
"    No telephone service available","47","±58","4.1%","±4.9"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","1,157","±105","1,157","(X)"
"    1.00 or less","1,108","±112","95.8%","±5.1"
"    1.01 to 1.50","0","±127","0.0%","±3.2"
"    1.51 or more","49","±60","4.2%","±5.1"
"VALUE","","","",""
"    Owner-occupied units","164","±76","164","(X)"
"    Less than $50,000","0","±127","0.0%","±20.3"
"    $50,000 to $99,999","0","±127","0.0%","±20.3"
"    $100,000 to $149,999","39","±47","23.8%","±25.3"
"    $150,000 to $199,999","12","±20","7.3%","±13.9"
"    $200,000 to $299,999","55","±43","33.5%","±22.6"
