"Label (Grouping)","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Percent","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","1,488","±38","1,488","(X)"
"        Occupied housing units","1,386","±72","93.1%","±3.9"
"        Vacant housing units","102","±58","6.9%","±3.9"
"        Homeowner vacancy rate","0.0","±15.4","(X)","(X)"
"        Rental vacancy rate","0.0","±2.7","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","1,488","±38","1,488","(X)"
"        1-unit, detached","57","±49","3.8%","±3.3"
"        1-unit, attached","405","±91","27.2%","±5.9"
"        2 units","37","±34","2.5%","±2.3"
"        3 or 4 units","135","±65","9.1%","±4.4"
"        5 to 9 units","10","±15","0.7%","±1.0"
"        10 to 19 units","46","±42","3.1%","±2.8"
"        20 or more units","798","±100","53.6%","±6.5"
"        Mobile home","0","±12","0.0%","±2.3"
"        Boat, RV, van, etc.","0","±12","0.0%","±2.3"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","1,488","±38","1,488","(X)"
"        Built 2014 or later","0","±12","0.0%","±2.3"
"        Built 2010 to 2013","49","±39","3.3%","±2.6"
"        Built 2000 to 2009","191","±91","12.8%","±6.1"
"        Built 1990 to 1999","263","±101","17.7%","±6.6"
"        Built 1980 to 1989","135","±67","9.1%","±4.5"
"        Built 1970 to 1979","171","±81","11.5%","±5.5"
"        Built 1960 to 1969","221","±81","14.9%","±5.4"
"        Built 1950 to 1959","36","±42","2.4%","±2.8"
"        Built 1940 to 1949","0","±12","0.0%","±2.3"
"        Built 1939 or earlier","422","±118","28.4%","±8.0"
"ROOMS","","","",""
"    Total housing units","1,488","±38","1,488","(X)"
"        1 room","177","±73","11.9%","±4.9"
"        2 rooms","110","±68","7.4%","±4.5"
"        3 rooms","305","±104","20.5%","±7.0"
"        4 rooms","423","±117","28.4%","±7.7"
"        5 rooms","216","±79","14.5%","±5.5"
"        6 rooms","197","±85","13.2%","±5.5"
"        7 rooms","37","±35","2.5%","±2.4"
"        8 rooms","23","±34","1.5%","±2.3"
"        9 rooms or more","0","±12","0.0%","±2.3"
"        Median rooms","3.9","±0.3","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","1,488","±38","1,488","(X)"
"        No bedroom","177","±73","11.9%","±4.9"
"        1 bedroom","342","±107","23.0%","±7.2"
"        2 bedrooms","719","±131","48.3%","±8.5"
"        3 bedrooms","195","±70","13.1%","±4.8"
"        4 bedrooms","55","±50","3.7%","±3.3"
"        5 or more bedrooms","0","±12","0.0%","±2.3"
"HOUSING TENURE","","","",""
"    Occupied housing units","1,386","±72","1,386","(X)"
"        Owner-occupied","168","±50","12.1%","±3.6"
"        Renter-occupied","1,218","±81","87.9%","±3.6"
"        Average household size of owner-occupied unit","2.46","±0.63","(X)","(X)"
"        Average household size of renter-occupied unit","2.31","±0.20","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","1,386","±72","1,386","(X)"
"        Moved in 2017 or later","19","±21","1.4%","±1.5"
"        Moved in 2015 to 2016","113","±69","8.2%","±4.9"
"        Moved in 2010 to 2014","439","±105","31.7%","±7.4"
"        Moved in 2000 to 2009","622","±122","44.9%","±8.5"
"        Moved in 1990 to 1999","81","±43","5.8%","±3.1"
"        Moved in 1989 and earlier","112","±66","8.1%","±4.7"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","1,386","±72","1,386","(X)"
"        No vehicles available","675","±120","48.7%","±8.1"
"        1 vehicle available","626","±134","45.2%","±9.5"
"        2 vehicles available","85","±64","6.1%","±4.6"
"        3 or more vehicles available","0","±12","0.0%","±2.5"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","1,386","±72","1,386","(X)"
"        Utility gas","618","±116","44.6%","±8.2"
"        Bottled, tank, or LP gas","44","±48","3.2%","±3.4"
"        Electricity","617","±121","44.5%","±8.3"
"        Fuel oil, kerosene, etc.","39","±39","2.8%","±2.8"
