"Label (Grouping)","Census Tract 708.01, Suffolk County, Massachusetts!!Estimate","Census Tract 708.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 708.01, Suffolk County, Massachusetts!!Percent","Census Tract 708.01, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 709.01, Suffolk County, Massachusetts!!Estimate","Census Tract 709.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 709.01, Suffolk County, Massachusetts!!Percent","Census Tract 709.01, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 801, Suffolk County, Massachusetts!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Margin of Error","Census Tract 801, Suffolk County, Massachusetts!!Percent","Census Tract 801, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 803, Suffolk County, Massachusetts!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Margin of Error","Census Tract 803, Suffolk County, Massachusetts!!Percent","Census Tract 803, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 805, Suffolk County, Massachusetts!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Margin of Error","Census Tract 805, Suffolk County, Massachusetts!!Percent","Census Tract 805, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 806.01, Suffolk County, Massachusetts!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 806.01, Suffolk County, Massachusetts!!Percent","Census Tract 806.01, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 813.01, Suffolk County, Massachusetts!!Estimate","Census Tract 813.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 813.01, Suffolk County, Massachusetts!!Percent","Census Tract 813.01, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 813.02, Suffolk County, Massachusetts!!Estimate","Census Tract 813.02, Suffolk County, Massachusetts!!Margin of Error","Census Tract 813.02, Suffolk County, Massachusetts!!Percent","Census Tract 813.02, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 814, Suffolk County, Massachusetts!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Margin of Error","Census Tract 814, Suffolk County, Massachusetts!!Percent","Census Tract 814, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 815, Suffolk County, Massachusetts!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Margin of Error","Census Tract 815, Suffolk County, Massachusetts!!Percent","Census Tract 815, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 817, Suffolk County, Massachusetts!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Margin of Error","Census Tract 817, Suffolk County, Massachusetts!!Percent","Census Tract 817, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 818, Suffolk County, Massachusetts!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Margin of Error","Census Tract 818, Suffolk County, Massachusetts!!Percent","Census Tract 818, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 819, Suffolk County, Massachusetts!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Margin of Error","Census Tract 819, Suffolk County, Massachusetts!!Percent","Census Tract 819, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 820, Suffolk County, Massachusetts!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Margin of Error","Census Tract 820, Suffolk County, Massachusetts!!Percent","Census Tract 820, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 821, Suffolk County, Massachusetts!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Margin of Error","Census Tract 821, Suffolk County, Massachusetts!!Percent","Census Tract 821, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 901, Suffolk County, Massachusetts!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Margin of Error","Census Tract 901, Suffolk County, Massachusetts!!Percent","Census Tract 901, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 902, Suffolk County, Massachusetts!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Margin of Error","Census Tract 902, Suffolk County, Massachusetts!!Percent","Census Tract 902, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 903, Suffolk County, Massachusetts!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Margin of Error","Census Tract 903, Suffolk County, Massachusetts!!Percent","Census Tract 903, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 904, Suffolk County, Massachusetts!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Margin of Error","Census Tract 904, Suffolk County, Massachusetts!!Percent","Census Tract 904, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 906, Suffolk County, Massachusetts!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Margin of Error","Census Tract 906, Suffolk County, Massachusetts!!Percent","Census Tract 906, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 907, Suffolk County, Massachusetts!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Margin of Error","Census Tract 907, Suffolk County, Massachusetts!!Percent","Census Tract 907, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 909.01, Suffolk County, Massachusetts!!Estimate","Census Tract 909.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 909.01, Suffolk County, Massachusetts!!Percent","Census Tract 909.01, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 910.01, Suffolk County, Massachusetts!!Estimate","Census Tract 910.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 910.01, Suffolk County, Massachusetts!!Percent","Census Tract 910.01, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 911, Suffolk County, Massachusetts!!Estimate","Census Tract 911, Suffolk County, Massachusetts!!Margin of Error","Census Tract 911, Suffolk County, Massachusetts!!Percent","Census Tract 911, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 912, Suffolk County, Massachusetts!!Estimate","Census Tract 912, Suffolk County, Massachusetts!!Margin of Error","Census Tract 912, Suffolk County, Massachusetts!!Percent","Census Tract 912, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 913, Suffolk County, Massachusetts!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Margin of Error","Census Tract 913, Suffolk County, Massachusetts!!Percent","Census Tract 913, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 914, Suffolk County, Massachusetts!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Margin of Error","Census Tract 914, Suffolk County, Massachusetts!!Percent","Census Tract 914, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 915, Suffolk County, Massachusetts!!Estimate","Census Tract 915, Suffolk County, Massachusetts!!Margin of Error","Census Tract 915, Suffolk County, Massachusetts!!Percent","Census Tract 915, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 916, Suffolk County, Massachusetts!!Estimate","Census Tract 916, Suffolk County, Massachusetts!!Margin of Error","Census Tract 916, Suffolk County, Massachusetts!!Percent","Census Tract 916, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 917, Suffolk County, Massachusetts!!Estimate","Census Tract 917, Suffolk County, Massachusetts!!Margin of Error","Census Tract 917, Suffolk County, Massachusetts!!Percent","Census Tract 917, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 918, Suffolk County, Massachusetts!!Estimate","Census Tract 918, Suffolk County, Massachusetts!!Margin of Error","Census Tract 918, Suffolk County, Massachusetts!!Percent","Census Tract 918, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 919, Suffolk County, Massachusetts!!Estimate","Census Tract 919, Suffolk County, Massachusetts!!Margin of Error","Census Tract 919, Suffolk County, Massachusetts!!Percent","Census Tract 919, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 920, Suffolk County, Massachusetts!!Estimate","Census Tract 920, Suffolk County, Massachusetts!!Margin of Error","Census Tract 920, Suffolk County, Massachusetts!!Percent","Census Tract 920, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 921.01, Suffolk County, Massachusetts!!Estimate","Census Tract 921.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 921.01, Suffolk County, Massachusetts!!Percent","Census Tract 921.01, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 922, Suffolk County, Massachusetts!!Estimate","Census Tract 922, Suffolk County, Massachusetts!!Margin of Error","Census Tract 922, Suffolk County, Massachusetts!!Percent","Census Tract 922, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 923, Suffolk County, Massachusetts!!Estimate","Census Tract 923, Suffolk County, Massachusetts!!Margin of Error","Census Tract 923, Suffolk County, Massachusetts!!Percent","Census Tract 923, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 924, Suffolk County, Massachusetts!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Margin of Error","Census Tract 924, Suffolk County, Massachusetts!!Percent","Census Tract 924, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1001, Suffolk County, Massachusetts!!Estimate","Census Tract 1001, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1001, Suffolk County, Massachusetts!!Percent","Census Tract 1001, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1002, Suffolk County, Massachusetts!!Estimate","Census Tract 1002, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1002, Suffolk County, Massachusetts!!Percent","Census Tract 1002, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1003, Suffolk County, Massachusetts!!Estimate","Census Tract 1003, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1003, Suffolk County, Massachusetts!!Percent","Census Tract 1003, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1004, Suffolk County, Massachusetts!!Estimate","Census Tract 1004, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1004, Suffolk County, Massachusetts!!Percent","Census Tract 1004, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1005, Suffolk County, Massachusetts!!Estimate","Census Tract 1005, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1005, Suffolk County, Massachusetts!!Percent","Census Tract 1005, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1006.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1006.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1006.01, Suffolk County, Massachusetts!!Percent","Census Tract 1006.01, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1006.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1006.03, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1006.03, Suffolk County, Massachusetts!!Percent","Census Tract 1006.03, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1007, Suffolk County, Massachusetts!!Estimate","Census Tract 1007, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1007, Suffolk County, Massachusetts!!Percent","Census Tract 1007, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1008, Suffolk County, Massachusetts!!Estimate","Census Tract 1008, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1008, Suffolk County, Massachusetts!!Percent","Census Tract 1008, Suffolk County, Massachusetts!!Percent Margin of Error"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","1,020","±481","1,020","(X)","1,350","±368","1,350","(X)","2,800","±401","2,800","(X)","2,200","±372","2,200","(X)","3,455","±473","3,455","(X)","3,908","±857","3,908","(X)","2,398","±797","2,398","(X)","2,320","±394","2,320","(X)","2,997","±427","2,997","(X)","2,963","±540","2,963","(X)","4,238","±612","4,238","(X)","3,133","±571","3,133","(X)","3,388","±727","3,388","(X)","3,708","±627","3,708","(X)","5,420","±1,167","5,420","(X)","5,290","±727","5,290","(X)","2,411","±457","2,411","(X)","3,071","±728","3,071","(X)","4,415","±758","4,415","(X)","2,627","±427","2,627","(X)","4,058","±471","4,058","(X)","3,219","±412","3,219","(X)","2,772","±605","2,772","(X)","4,931","±637","4,931","(X)","3,200","±515","3,200","(X)","2,759","±457","2,759","(X)","3,337","±429","3,337","(X)","4,752","±699","4,752","(X)","2,837","±801","2,837","(X)","3,532","±636","3,532","(X)","3,582","±591","3,582","(X)","4,549","±815","4,549","(X)","5,902","±760","5,902","(X)","7,036","±887","7,036","(X)","3,482","±697","3,482","(X)","3,559","±583","3,559","(X)","6,389","±1,025","6,389","(X)","7,024","±1,118","7,024","(X)","3,783","±566","3,783","(X)","4,270","±707","4,270","(X)","5,807","±849","5,807","(X)","6,934","±940","6,934","(X)","6,131","±817","6,131","(X)","2,051","±466","2,051","(X)","4,743","±651","4,743","(X)","6,269","±922","6,269","(X)"
"        Male","495","±283","48.5%","±23.0","372","±177","27.6%","±11.5","1,684","±273","60.1%","±5.7","812","±203","36.9%","±6.9","1,542","±240","44.6%","±5.8","1,713","±432","43.8%","±4.0","1,109","±323","46.2%","±9.8","895","±256","38.6%","±7.4","1,473","±323","49.1%","±7.3","1,054","±212","35.6%","±5.0","1,841","±385","43.4%","±5.8","1,604","±371","51.2%","±5.8","1,402","±362","41.4%","±7.1","1,775","±331","47.9%","±6.3","2,087","±616","38.5%","±7.1","2,766","±481","52.3%","±4.8","1,235","±312","51.2%","±6.3","1,605","±549","52.3%","±8.1","2,010","±383","45.5%","±4.5","1,515","±256","57.7%","±5.6","1,996","±301","49.2%","±5.1","1,515","±287","47.1%","±7.8","1,291","±298","46.6%","±6.2","2,256","±394","45.8%","±4.5","1,882","±324","58.8%","±5.7","1,266","±281","45.9%","±5.5","1,590","±285","47.6%","±6.0","2,205","±368","46.4%","±3.1","1,530","±515","53.9%","±5.2","1,774","±411","50.2%","±5.4","1,576","±380","44.0%","±5.7","2,207","±535","48.5%","±6.0","2,680","±438","45.4%","±5.1","3,562","±639","50.6%","±5.9","1,789","±332","51.4%","±5.1","1,618","±301","45.5%","±4.4","2,822","±657","44.2%","±5.1","3,006","±647","42.8%","±5.1","1,885","±341","49.8%","±4.1","1,895","±450","44.4%","±4.6","2,442","±398","42.1%","±5.2","3,112","±562","44.9%","±5.2","2,958","±470","48.2%","±4.8","1,062","±328","51.8%","±6.2","2,408","±369","50.8%","±4.8","2,914","±608","46.5%","±4.8"
"        Female","525","±381","51.5%","±23.0","978","±319","72.4%","±11.5","1,116","±238","39.9%","±5.7","1,388","±279","63.1%","±6.9","1,913","±377","55.4%","±5.8","2,195","±477","56.2%","±4.0","1,289","±579","53.8%","±9.8","1,425","±259","61.4%","±7.4","1,524","±286","50.9%","±7.3","1,909","±409","64.4%","±5.0","2,397","±394","56.6%","±5.8","1,529","±304","48.8%","±5.8","1,986","±509","58.6%","±7.1","1,933","±445","52.1%","±6.3","3,333","±784","61.5%","±7.1","2,524","±403","47.7%","±4.8","1,176","±236","48.8%","±6.3","1,466","±309","47.7%","±8.1","2,405","±473","54.5%","±4.5","1,112","±257","42.3%","±5.6","2,062","±328","50.8%","±5.1","1,704","±362","52.9%","±7.8","1,481","±396","53.4%","±6.2","2,675","±378","54.2%","±4.5","1,318","±303","41.2%","±5.7","1,493","±264","54.1%","±5.5","1,747","±305","52.4%","±6.0","2,547","±393","53.6%","±3.1","1,307","±329","46.1%","±5.2","1,758","±322","49.8%","±5.4","2,006","±329","56.0%","±5.7","2,342","±438","51.5%","±6.0","3,222","±528","54.6%","±5.1","3,474","±580","49.4%","±5.9","1,693","±440","48.6%","±5.1","1,941","±364","54.5%","±4.4","3,567","±531","55.8%","±5.1","4,018","±668","57.2%","±5.1","1,898","±303","50.2%","±4.1","2,375","±339","55.6%","±4.6","3,365","±638","57.9%","±5.2","3,822","±624","55.1%","±5.2","3,173","±535","51.8%","±4.8","989","±186","48.2%","±6.2","2,335","±420","49.2%","±4.8","3,355","±463","53.5%","±4.8"
"        Sex ratio (males per 100 females)","94.3","±93.9","(X)","(X)","38.0","±22.9","(X)","(X)","150.9","±36.6","(X)","(X)","58.5","±17.8","(X)","(X)","80.6","±19.0","(X)","(X)","78.0","±12.6","(X)","(X)","86.0","±34.8","(X)","(X)","62.8","±19.8","(X)","(X)","96.7","±27.8","(X)","(X)","55.2","±12.4","(X)","(X)","76.8","±18.0","(X)","(X)","104.9","±24.8","(X)","(X)","70.6","±21.2","(X)","(X)","91.8","±23.3","(X)","(X)","62.6","±19.2","(X)","(X)","109.6","±20.6","(X)","(X)","105.0","±27.0","(X)","(X)","109.5","±35.0","(X)","(X)","83.6","±15.0","(X)","(X)","136.2","±31.3","(X)","(X)","96.8","±19.7","(X)","(X)","88.9","±28.4","(X)","(X)","87.2","±21.8","(X)","(X)","84.3","±15.4","(X)","(X)","142.8","±34.5","(X)","(X)","84.8","±18.9","(X)","(X)","91.0","±21.9","(X)","(X)","86.6","±11.0","(X)","(X)","117.1","±24.6","(X)","(X)","100.9","±21.5","(X)","(X)","78.6","±18.3","(X)","(X)","94.2","±22.6","(X)","(X)","83.2","±17.1","(X)","(X)","102.5","±23.8","(X)","(X)","105.7","±21.6","(X)","(X)","83.4","±14.8","(X)","(X)","79.1","±16.2","(X)","(X)","74.8","±15.6","(X)","(X)","99.3","±16.3","(X)","(X)","79.8","±15.1","(X)","(X)","72.6","±15.5","(X)","(X)","81.4","±17.2","(X)","(X)","93.2","±18.2","(X)","(X)","107.4","±26.4","(X)","(X)","103.1","±19.6","(X)","(X)","86.9","±16.6","(X)","(X)"
"        Under 5 years","18","±30","1.8%","±2.9","0","±13","0.0%","±2.9","98","±70","3.5%","±2.3","252","±146","11.5%","±5.3","297","±170","8.6%","±4.7","61","±45","1.6%","±1.2","152","±147","6.3%","±6.1","55","±73","2.4%","±3.0","66","±51","2.2%","±1.7","113","±100","3.8%","±3.0","291","±145","6.9%","±3.1","315","±110","10.1%","±4.0","184","±162","5.4%","±4.7","110","±87","3.0%","±2.4","241","±233","4.4%","±3.9","269","±122","5.1%","±2.3","158","±112","6.6%","±4.3","188","±117","6.1%","±3.6","179","±109","4.1%","±2.3","140","±90","5.3%","±3.0","126","±89","3.1%","±2.1","122","±83","3.8%","±2.5","70","±51","2.5%","±1.9","194","±153","3.9%","±3.0","182","±115","5.7%","±3.4","140","±77","5.1%","±2.5","146","±63","4.4%","±1.8","377","±208","7.9%","±3.7","55","±72","1.9%","±2.6","277","±204","7.8%","±5.0","146","±104","4.1%","±2.7","339","±151","7.5%","±2.8","287","±172","4.9%","±2.8","430","±189","6.1%","±2.6","323","±165","9.3%","±3.5","129","±66","3.6%","±1.8","665","±262","10.4%","±4.0","449","±233","6.4%","±2.8","246","±122","6.5%","±2.9","320","±131","7.5%","±3.0","388","±170","6.7%","±3.0","456","±250","6.6%","±3.3","458","±328","7.5%","±4.7","48","±38","2.3%","±1.9","163","±117","3.4%","±2.5","318","±174","5.1%","±2.8"
"        5 to 9 years","0","±13","0.0%","±3.8","125","±94","9.3%","±6.6","180","±82","6.4%","±2.6","142","±127","6.5%","±5.2","238","±119","6.9%","±3.3","153","±91","3.9%","±2.2","76","±74","3.2%","±3.0","42","±68","1.8%","±2.8","92","±71","3.1%","±2.3","121","±61","4.1%","±2.2","240","±147","5.7%","±3.3","203","±99","6.5%","±3.3","107","±81","3.2%","±2.3","187","±129","5.0%","±3.4","363","±167","6.7%","±2.7","362","±121","6.8%","±2.0","257","±104","10.7%","±3.2","331","±135","10.8%","±4.0","360","±172","8.2%","±3.5","134","±64","5.1%","±2.2","143","±76","3.5%","±1.9","16","±20","0.5%","±0.6","212","±211","7.6%","±6.7","91","±49","1.8%","±0.9","152","±90","4.8%","±2.4","187","±103","6.8%","±3.3","218","±106","6.5%","±3.2","252","±116","5.3%","±2.2","283","±160","10.0%","±3.9","225","±90","6.4%","±2.4","162","±93","4.5%","±2.3","467","±165","10.3%","±2.6","309","±126","5.2%","±2.0","144","±122","2.0%","±1.7","137","±59","3.9%","±1.7","204","±66","5.7%","±1.9","364","±204","5.7%","±3.0","602","±242","8.6%","±3.0","191","±85","5.0%","±2.1","197","±96","4.6%","±2.2","328","±263","5.6%","±4.2","443","±245","6.4%","±3.1","361","±169","5.9%","±2.8","45","±41","2.2%","±1.9","240","±111","5.1%","±2.3","220","±155","3.5%","±2.5"
"        10 to 14 years","0","±13","0.0%","±3.8","62","±62","4.6%","±4.7","147","±67","5.3%","±2.5","31","±42","1.4%","±1.7","158","±76","4.6%","±2.1","125","±70","3.2%","±1.8","318","±397","13.3%","±13.7","193","±168","8.3%","±6.7","110","±97","3.7%","±3.0","222","±83","7.5%","±2.9","104","±71","2.5%","±1.6","271","±182","8.6%","±4.9","251","±152","7.4%","±4.2","381","±143","10.3%","±3.6","410","±269","7.6%","±4.2","510","±184","9.6%","±3.0","174","±98","7.2%","±4.3","224","±111","7.3%","±3.6","438","±154","9.9%","±3.0","101","±58","3.8%","±2.1","127","±89","3.1%","±2.0","165","±75","5.1%","±2.3","20","±24","0.7%","±0.9","91","±46","1.8%","±0.9","220","±108","6.9%","±2.8","211","±93","7.6%","±2.7","286","±100","8.6%","±2.8","326","±173","6.9%","±3.2","92","±85","3.2%","±3.1","234","±104","6.6%","±2.3","397","±134","11.1%","±3.0","312","±173","6.9%","±3.5","291","±114","4.9%","±1.9","305","±167","4.3%","±2.2","48","±42","1.4%","±1.2","349","±102","9.8%","±2.8","483","±140","7.6%","±2.5","534","±203","7.6%","±3.2","384","±114","10.2%","±2.6","336","±207","7.9%","±4.3","534","±215","9.2%","±3.5","487","±163","7.0%","±2.2","220","±131","3.6%","±2.2","28","±22","1.4%","±1.1","313","±190","6.6%","±3.7","50","±60","0.8%","±1.0"
"        15 to 19 years","0","±13","0.0%","±3.8","63","±65","4.7%","±4.6","160","±81","5.7%","±2.7","80","±44","3.6%","±2.2","316","±157","9.1%","±4.4","1,155","±430","29.6%","±6.3","25","±35","1.0%","±1.5","270","±187","11.6%","±7.0","107","±89","3.6%","±2.8","181","±103","6.1%","±3.4","313","±151","7.4%","±3.2","139","±110","4.4%","±3.0","167","±92","4.9%","±3.0","273","±146","7.4%","±3.5","251","±181","4.6%","±3.0","359","±131","6.8%","±2.4","307","±155","12.7%","±5.1","150","±87","4.9%","±2.1","449","±169","10.2%","±3.2","207","±74","7.9%","±2.3","53","±45","1.3%","±1.1","528","±209","16.4%","±5.8","113","±79","4.1%","±2.7","273","±97","5.5%","±2.0","120","±64","3.8%","±2.0","213","±83","7.7%","±2.5","245","±109","7.3%","±2.8","365","±138","7.7%","±2.6","267","±206","9.4%","±5.4","289","±119","8.2%","±2.6","358","±113","10.0%","±3.0","318","±154","7.0%","±3.2","526","±158","8.9%","±2.5","271","±259","3.9%","±3.5","250","±131","7.2%","±4.1","345","±112","9.7%","±2.5","708","±293","11.1%","±4.2","505","±206","7.2%","±2.6","265","±85","7.0%","±2.2","289","±129","6.8%","±2.7","471","±178","8.1%","±2.6","235","±129","3.4%","±1.8","171","±153","2.8%","±2.5","34","±32","1.7%","±1.6","561","±381","11.8%","±7.1","487","±221","7.8%","±2.9"
"        20 to 24 years","320","±362","31.4%","±27.2","103","±101","7.6%","±7.2","266","±106","9.5%","±3.4","89","±83","4.0%","±3.7","431","±140","12.5%","±4.1","1,193","±363","30.5%","±4.9","240","±166","10.0%","±6.9","177","±119","7.6%","±5.4","710","±212","23.7%","±5.9","275","±119","9.3%","±3.6","365","±138","8.6%","±3.3","234","±195","7.5%","±5.3","203","±138","6.0%","±4.1","340","±155","9.2%","±3.7","386","±270","7.1%","±4.7","551","±203","10.4%","±3.8","313","±89","13.0%","±3.0","312","±220","10.2%","±5.9","392","±173","8.9%","±3.7","239","±70","9.1%","±2.3","360","±160","8.9%","±3.6","910","±254","28.3%","±6.8","91","±50","3.3%","±1.9","174","±91","3.5%","±1.9","59","±46","1.8%","±1.4","412","±157","14.9%","±5.0","204","±110","6.1%","±3.1","249","±98","5.2%","±2.1","247","±172","8.7%","±4.2","376","±169","10.6%","±3.4","276","±112","7.7%","±3.1","271","±158","6.0%","±3.3","423","±179","7.2%","±2.9","482","±147","6.9%","±2.2","262","±113","7.5%","±3.5","177","±88","5.0%","±2.4","803","±411","12.6%","±4.9","871","±276","12.4%","±3.3","251","±90","6.6%","±2.1","364","±147","8.5%","±3.6","276","±112","4.8%","±2.0","530","±212","7.6%","±3.1","237","±145","3.9%","±2.4","153","±159","7.5%","±6.4","197","±81","4.2%","±1.7","180","±95","2.9%","±1.5"
